,country,date,total_cases,population,population_density,eiu,infectionrate,SecondarySchoolCompletionRate,GDP,Urbanpop
0,Afghanistan,2021-12-31,158084.0,39835428.0,54.422,2.85,0.003968427300442209,58.305850982666,2065.03623501599,9797274.0
1,Albania,2021-12-31,210224.0,2872934.0,104.871,5.89,0.07317397475890501,92.8239898681641,13656.5999245894,1747593.0
2,Algeria,2021-12-31,218432.0,44616626.0,17.348,4.01,0.00489575343505356,82.9214477539063,11521.9842097494,31510100.0
3,Argentina,2021-12-31,5654408.0,45605823.0,16.177,7.02,0.12398434296427455,93.5391998291016,22066.1010083881,41339571.0
4,Armenia,2021-12-31,344930.0,2968128.0,102.931,5.54,0.11621129546973716,92.1980514526367,13653.7633812861,1869846.0
5,Austria,2021-12-31,1278619.0,9043072.0,106.749,8.29,0.14139210657617235,97.6454696655273,55833.559903835,5196085.0
6,Bahrain,2021-12-31,282062.0,1748295.0,1935.907,2.55,0.16133547256040887,93.4541168212891,45311.8641175216,1467102.0
7,Belgium,2021-12-31,2105343.0,11632334.0,375.564,7.64,0.18099059053840785,92.5289306640625,51944.1670288861,11263911.0
8,Bhutan,2021-12-31,2660.0,779900.0,21.188,5.3,0.0034106936786767535,84.9810028076172,11864.7662468492,317539.0
9,Bolivia,2021-12-31,599753.0,11832936.0,10.202,4.84,0.050685053988291665,85.8481369018555,8724.47418606476,8033037.0
10,Burkina Faso,2021-12-31,17632.0,21497097.0,70.151,4.04,0.0008202037698392485,41.3698501586914,2175.50467955719,6092351.0
11,Burundi,2021-12-31,27366.0,12255429.0,423.062,2.15,0.00223296956801757,29.7798690795898,751.664152760383,1541177.0
12,Cambodia,2021-12-31,120493.0,16946446.0,90.672,3.53,0.007110222402974642,57.7426109313965,4388.80090863251,3924621.0
13,Chile,2021-12-31,1806494.0,19212362.0,24.282,8.08,0.09402768904729153,94.3004989624023,24967.5802124165,16610132.0
14,Colombia,2021-12-31,5157440.0,51265841.0,44.223,7.13,0.10060188030466524,78.1262283325195,14585.3024908488,40827302.0
15,Costa Rica,2021-12-31,570556.0,5139053.0,96.079,8.13,0.1110235679608675,73.9882125854492,20937.5382348599,4041885.0
16,Croatia,2021-12-31,715245.0,4081657.0,73.726,6.57,0.1752339797293109,100.980056762695,29336.0870271692,2327032.0
17,Cyprus,2021-12-31,166827.0,896005.0,127.657,7.59,0.18618980920865397,98.0986099243164,40226.8094909879,800707.0
18,Denmark,2021-12-31,802397.0,5813302.0,136.52,9.22,0.13802775083764787,103.61701965332,57161.6863893418,5116342.0
19,Djibouti,2021-12-31,13656.0,1002197.0,41.285,2.77,0.013626063538406123,49.9365310668945,5534.76617152744,758547.0
20,Dominican Republic,2021-12-31,418778.0,10953714.0,222.873,6.54,0.03823159888965515,83.6265335083008,18412.8999875519,8787474.0
21,Ecuador,2021-12-31,549418.0,17888474.0,66.939,6.33,0.03071351977815436,96.0242004394531,11370.603299072,11116708.0
22,Estonia,2021-12-31,241408.0,1325188.0,31.033,7.9,0.1821688696245363,100.912353515625,36399.9292208916,916236.0
23,Finland,2021-12-31,260292.0,5548361.0,18.136,9.25,0.0469133136794812,101.246719360352,48641.6240784137,4717991.0
24,France,2021-12-31,10018021.0,67422000.0,122.578,8.12,0.1485868262584913,99.4556884765625,46017.7659610004,54275936.0
25,Gabon,2021-12-31,41798.0,2278829.0,7.859,3.61,0.018341876463745195,59.2679100036621,14945.8592935603,1949693.0
26,Georgia,2021-12-31,934741.0,3979773.0,65.032,5.42,0.23487294375835005,113.869277954102,14989.2581602038,2196346.0
27,Ghana,2021-12-31,142986.0,31732128.0,126.719,6.63,0.004506032498041102,78.1767807006836,5540.04562697865,17249055.0
28,Greece,2021-12-31,1210853.0,10370747.0,83.479,7.43,0.11675658465103815,93.9455184936523,29698.0304753909,8511650.0
29,Guatemala,2021-12-31,628359.0,18249868.0,157.834,5.26,0.034430879171290445,56.3729782104492,8653.30819508205,8540945.0
30,Honduras,2021-12-31,379402.0,10062994.0,82.805,5.42,0.03770269563909111,43.6043701171875,5736.18163330613,5626432.0
31,Hungary,2021-12-31,1256415.0,9634162.0,108.043,6.63,0.13041248424097499,93.7355804443359,32553.6944730337,7000436.0
32,Iceland,2021-12-31,27059.0,368792.0,3.404,9.58,0.07337198203865594,101.039451599121,56935.7727270827,338406.0
33,India,2021-12-31,34861579.0,1393409033.0,450.419,6.9,0.02501891273443467,83.2234115600586,6713.93221110725,471031529.0
34,Ireland,2021-12-31,788559.0,4982904.0,69.874,9.24,0.15825289830990122,101.174850463867,86650.0046591322,3128618.0
35,Israel,2021-12-31,1383932.0,9291000.0,402.606,7.86,0.14895404154558176,103.218078613281,40626.2152725349,8375041.0
36,Italy,2021-12-31,6125683.0,60367471.0,205.859,7.52,0.10147324210417892,97.5391082763672,42708.0344529972,42249963.0
37,Jamaica,2021-12-31,93920.0,2973462.0,266.879,6.96,0.031586077104735155,84.0585479736328,9777.00568620683,1650593.0
38,Jordan,2021-12-31,1063405.0,10269022.0,109.285,3.93,0.1035546520398924,64.3248519897461,10071.379888314,9213051.0
39,Kazakhstan,2021-12-31,1072518.0,18994958.0,6.681,2.94,0.05646329936607388,117.914016723633,26351.8044418782,10652767.0
40,Kuwait,2021-12-31,417135.0,4328553.0,232.128,3.93,0.09636823206277016,92.4291915893555,49853.7363427288,4207077.0
41,Latvia,2021-12-31,276674.0,1866934.0,31.212,7.49,0.14819699035959494,96.8945388793945,31012.135102478,1305648.0
42,Lithuania,2021-12-31,519597.0,2689862.0,45.135,7.5,0.19316864582644017,100.418426513672,37166.2100814318,1895962.0
43,Luxembourg,2021-12-31,103766.0,634814.0,231.447,8.81,0.16345890292274587,116.738403320313,116518.276815474,565584.0
44,Madagascar,2021-12-31,50279.0,28427333.0,43.951,5.64,0.0017686850891006905,35.4730796813965,1618.61797345348,10210849.0
45,Malaysia,2021-12-31,2758086.0,32776195.0,96.254,7.16,0.08414906001138936,84.9147720336914,28421.4632396632,24475775.0
46,Malta,2021-12-31,52473.0,516100.0,1454.037,7.95,0.10167215655880643,104.022117614746,43950.5880527847,477236.0
47,Mauritania,2021-12-31,41473.0,4775110.0,4.289,3.92,0.008685244947236818,45.9422912597656,5343.99792146683,2466822.0
48,Mauritius,2021-12-31,23493.0,1273428.0,622.962,8.22,0.01844862842657771,89.2140502929688,22869.7563093473,515980.0
49,Mexico,2021-12-31,3979723.0,130262220.0,66.444,6.09,0.030551628860616686,90.6881332397461,19677.2753402017,102626859.0
50,Moldova,2021-12-31,376155.0,4024025.0,123.655,5.75,0.09347730195513199,108.491310119629,13026.5160219088,1138637.0
51,Mongolia,2021-12-31,389361.0,3329282.0,1.98,6.5,0.11695044156668015,94.7922973632813,12486.077460816,2210626.0
52,Montenegro,2021-12-31,170034.0,628051.0,46.28,5.65,0.27073279080838974,89.9447784423828,21533.9519518839,417692.0
53,Morocco,2021-12-31,963092.0,37344787.0,80.08,5.1,0.025789195155939703,64.4070816040039,7537.48527234118,22975024.0
54,Mozambique,2021-12-31,189080.0,32163045.0,37.728,3.65,0.005878796612696341,24.2340297698975,1281.78001360291,11092108.0
55,Nepal,2021-12-31,828431.0,29674920.0,204.43,5.28,0.02791687391238123,99.459098815918,3952.76034914913,5765514.0
56,Niger,2021-12-31,7405.0,25130810.0,16.955,3.29,0.00029465823027590435,17.6575298309326,1224.37513477719,3850231.0
57,Norway,2021-12-31,394259.0,5465629.0,14.462,9.87,0.07213424109100709,99.6927108764648,64452.812617024,4418218.0
58,Oman,2021-12-31,305489.0,5223376.0,14.98,3.06,0.05848497217125476,105.948593139648,27382.77129701,4250782.0
59,Pakistan,2021-12-31,1295933.0,225199929.0,255.573,4.25,0.005754588848027567,48.9684104919434,4697.72657915561,79927762.0
60,Peru,2021-12-31,2296831.0,33359415.0,25.129,6.6,0.0688510574900669,101.632438659668,12853.6920747721,25390346.0
61,Philippines,2021-12-31,2843979.0,111046910.0,351.873,6.64,0.02561060906602444,83.0879821777344,8914.72379823318,50975906.0
62,Poland,2021-12-31,4108215.0,37797000.0,124.027,6.62,0.10869156282244623,103.306869506836,33185.1581282308,22793332.0
63,Portugal,2021-12-31,1389646.0,10167923.0,112.371,8.03,0.13666960302512127,93.6031036376953,34945.6615139469,6764658.0
64,Qatar,2021-12-31,250528.0,2930524.0,227.322,3.19,0.08548914801584973,94.8369827270508,89966.4497223279,2809075.0
65,Romania,2021-12-31,1808891.0,19127772.0,85.129,6.49,0.0945688290303753,88.5453262329102,29875.0830235921,10476962.0
66,Rwanda,2021-12-31,111786.0,13276517.0,494.869,3.16,0.008419828784913996,42.4986801147461,2227.51703252759,2186102.0
67,Saudi Arabia,2021-12-31,556236.0,35340680.0,15.322,1.93,0.01573925572456444,105.457580566406,46962.147688222,28807839.0
68,Senegal,2021-12-31,75055.0,17196308.0,82.328,5.81,0.0043645996570891845,37.3810997009277,3361.46154773707,7765705.0
69,Serbia,2021-12-31,1299339.0,6871547.0,80.291,6.41,0.18908973481517335,97.0302734375,18306.7776526064,3907389.0
70,Sierra Leone,2021-12-31,7064.0,8141343.0,104.7,4.86,0.0008676701129039766,72.2191619873047,1705.1914520016,3319363.0
71,Singapore,2021-12-31,279405.0,5453600.0,7915.731,6.02,0.05123313040927094,100.159812927246,98411.5820616053,5703569.0
72,Slovenia,2021-12-31,464048.0,2078723.0,102.619,7.5,0.22323705467250807,96.1799697875977,38946.6853820836,1144894.0
73,South Africa,2021-12-31,3458286.0,60041996.0,46.754,7.24,0.0575977853900793,80.3723297119141,13709.9663747111,39149715.0
74,Spain,2021-12-31,6294745.0,46745211.0,93.105,8.18,0.13466074631687938,97.6436920166016,40803.6269757506,37973121.0
75,Sri Lanka,2021-12-31,587245.0,21497306.0,341.955,6.27,0.027317143831882936,97.9640197753906,13070.1256448919,4052088.0
76,Suriname,2021-12-31,52446.0,591798.0,3.612,6.98,0.08862145529386717,47.4272308349609,19036.7450382918,384252.0
77,Sweden,2021-12-31,1314784.0,10160159.0,24.718,9.39,0.1294058488651605,107.631187438965,52850.5691792533,9015406.0
78,Switzerland,2021-12-31,1332615.0,8715494.0,214.243,9.03,0.15290183207056307,95.6192932128906,70944.3548128194,6332759.0
79,Tanzania,2021-12-31,29306.0,61498438.0,64.699,5.16,0.0004765324283520827,34.2192611694336,2660.42043252302,20011884.0
80,Togo,2021-12-31,30163.0,8478242.0,143.366,3.3,0.0035576950976393454,50.0889701843262,2121.89991847011,3414635.0
81,Turkey,2021-12-31,9482550.0,85042736.0,104.914,4.09,0.11150335050368088,88.7890090942383,28197.2488314389,63097812.0
82,Uruguay,2021-12-31,413383.0,3485152.0,19.751,8.38,0.11861261718283736,94.5867233276367,23032.7340435597,3303391.0
83,Uzbekistan,2021-12-31,198903.0,33935765.0,76.134,2.01,0.005861161520891013,94.7095413208008,7348.14688265697,16935578.0
84,Zimbabwe,2021-12-31,213258.0,15092171.0,42.729,3.16,0.014130372628298473,69.0319213867188,3630.03398530519,4717307.0
